step 0: train loss 3.2792, val loss 3.6664
iter 151: loss 2.5519, time 239.03ms
iter 152: loss 3.3692, time 239.06ms
iter 153: loss 3.3239, time 239.13ms
iter 154: loss 3.1982, time 239.11ms
iter 155: loss 3.5429, time 239.16ms
iter 156: loss 2.7958, time 239.01ms
iter 157: loss 3.2698, time 239.06ms
iter 158: loss 3.0336, time 239.41ms
iter 159: loss 3.3253, time 238.89ms
iter 160: loss 3.1064, time 238.99ms
iter 161: loss 3.4158, time 239.00ms
iter 162: loss 3.3321, time 239.05ms
iter 163: loss 3.5129, time 239.11ms
iter 164: loss 3.2123, time 239.40ms
iter 165: loss 2.9282, time 239.17ms
iter 166: loss 3.6659, time 239.09ms
iter 167: loss 2.9046, time 238.98ms
iter 168: loss 3.6845, time 239.13ms
iter 169: loss 3.1811, time 239.09ms
iter 170: loss 3.1090, time 238.99ms
iter 171: loss 2.9937, time 239.03ms
iter 172: loss 3.2592, time 238.96ms
iter 173: loss 2.9693, time 239.11ms
iter 174: loss 3.0672, time 238.95ms
iter 175: loss 3.4334, time 239.32ms
iter 176: loss 2.8783, time 239.09ms
iter 177: loss 3.0322, time 239.06ms
iter 178: loss 3.2725, time 239.15ms
iter 179: loss 2.8734, time 239.12ms
iter 180: loss 2.5187, time 239.13ms
iter 181: loss 2.4547, time 239.20ms
iter 182: loss 2.6043, time 239.07ms
iter 183: loss 3.2780, time 239.41ms
iter 184: loss 3.4444, time 239.48ms
iter 185: loss 3.3413, time 239.53ms
iter 186: loss 2.8811, time 239.11ms
iter 187: loss 3.5093, time 239.37ms
iter 188: loss 2.7116, time 239.19ms
iter 189: loss 3.6458, time 239.05ms
iter 190: loss 2.8326, time 239.51ms
iter 191: loss 2.8649, time 238.90ms
iter 192: loss 3.0517, time 239.42ms
iter 193: loss 2.8979, time 239.16ms
iter 194: loss 3.4339, time 239.03ms
iter 195: loss 3.3959, time 239.10ms
iter 196: loss 3.1755, time 239.08ms
iter 197: loss 3.3449, time 238.78ms
iter 198: loss 2.8616, time 239.53ms
iter 199: loss 3.4226, time 239.17ms
step 200: train loss 3.0510, val loss 3.7099
saving checkpoint to out-violence
iter 200: loss 2.7780, time 55733.13ms
iter 201: loss 2.9267, time 241.56ms
iter 202: loss 2.9153, time 239.85ms
iter 203: loss 3.0440, time 239.41ms
iter 204: loss 2.8807, time 239.16ms
iter 205: loss 3.3268, time 239.18ms
iter 206: loss 2.7466, time 239.42ms
iter 207: loss 3.0516, time 239.44ms
iter 208: loss 3.8325, time 239.70ms
iter 209: loss 3.3577, time 239.33ms
iter 210: loss 2.7740, time 239.63ms
iter 211: loss 3.8434, time 239.12ms
iter 212: loss 3.0621, time 238.87ms
iter 213: loss 2.6977, time 239.25ms
iter 214: loss 3.1901, time 239.01ms
iter 215: loss 3.6014, time 239.21ms
iter 216: loss 3.0358, time 239.22ms
iter 217: loss 2.8357, time 239.22ms
iter 218: loss 2.8840, time 239.08ms
iter 219: loss 3.6671, time 239.21ms
iter 220: loss 3.5838, time 239.04ms
iter 221: loss 2.7897, time 239.60ms
iter 222: loss 3.3095, time 238.97ms
iter 223: loss 3.0679, time 238.95ms
iter 224: loss 3.3139, time 239.14ms
iter 225: loss 2.6728, time 238.95ms
iter 226: loss 3.4071, time 239.01ms
iter 227: loss 3.0687, time 238.77ms
iter 228: loss 3.1107, time 239.36ms
iter 229: loss 2.9110, time 239.12ms
iter 230: loss 3.0881, time 239.02ms
iter 231: loss 3.7026, time 239.13ms
iter 232: loss 3.1373, time 239.01ms
iter 233: loss 2.9504, time 239.03ms
iter 234: loss 3.4263, time 238.73ms
iter 235: loss 3.6795, time 239.41ms
iter 236: loss 3.8757, time 239.10ms
iter 237: loss 2.7155, time 238.97ms
iter 238: loss 3.1189, time 239.36ms
iter 239: loss 3.1407, time 238.76ms
iter 240: loss 3.0470, time 239.23ms
iter 241: loss 3.8273, time 239.26ms
iter 242: loss 3.1294, time 239.06ms
iter 243: loss 3.8611, time 240.12ms
iter 244: loss 3.1131, time 239.04ms
iter 245: loss 3.8117, time 238.89ms
iter 246: loss 3.7257, time 239.42ms
iter 247: loss 3.1537, time 239.73ms
iter 248: loss 3.1292, time 239.49ms
iter 249: loss 3.1447, time 239.10ms
iter 250: loss 3.3642, time 239.13ms
iter 251: loss 3.1697, time 239.24ms
iter 252: loss 2.9949, time 239.40ms
iter 253: loss 3.4524, time 239.65ms
iter 254: loss 3.7293, time 239.64ms
iter 255: loss 3.3067, time 239.57ms
iter 256: loss 3.5649, time 239.39ms
iter 257: loss 2.9636, time 239.09ms
iter 258: loss 3.6566, time 239.24ms
iter 259: loss 3.6837, time 239.10ms
iter 260: loss 3.1413, time 238.99ms
iter 261: loss 3.1583, time 239.26ms
iter 262: loss 3.7017, time 239.22ms
iter 263: loss 3.0480, time 238.97ms
iter 264: loss 3.3876, time 239.23ms
iter 265: loss 2.6563, time 239.02ms
iter 266: loss 3.6579, time 239.16ms
iter 267: loss 3.2818, time 239.45ms
iter 268: loss 3.2710, time 239.60ms
iter 269: loss 3.0554, time 239.11ms
iter 270: loss 3.1715, time 239.62ms
iter 271: loss 3.1755, time 239.26ms
iter 272: loss 2.8120, time 239.00ms
iter 273: loss 3.6497, time 239.18ms
iter 274: loss 3.6043, time 239.08ms
iter 275: loss 2.8976, time 239.90ms
iter 276: loss 2.8003, time 239.99ms
iter 277: loss 3.1288, time 239.29ms
iter 278: loss 3.3343, time 239.09ms
iter 279: loss 3.4746, time 239.35ms
iter 280: loss 2.5285, time 239.56ms
iter 281: loss 3.4900, time 239.44ms
iter 282: loss 3.1600, time 239.07ms
iter 283: loss 2.8957, time 239.18ms
iter 284: loss 3.2913, time 239.47ms
iter 285: loss 2.9947, time 239.34ms
iter 286: loss 3.1356, time 239.36ms
iter 287: loss 3.4795, time 239.11ms
iter 288: loss 3.5913, time 239.52ms
iter 289: loss 3.6673, time 239.13ms
iter 290: loss 2.9334, time 239.56ms
iter 291: loss 3.2818, time 239.19ms
iter 292: loss 3.4325, time 239.25ms
iter 293: loss 3.5580, time 240.54ms
iter 294: loss 3.3075, time 240.06ms
iter 295: loss 2.6292, time 239.37ms
iter 296: loss 3.3359, time 239.31ms
iter 297: loss 2.5491, time 239.55ms
iter 298: loss 3.2054, time 239.42ms
iter 299: loss 3.7651, time 239.21ms
iter 300: loss 3.5933, time 240.09ms
iter 301: loss 3.4993, time 240.05ms
iter 302: loss 3.0281, time 239.24ms
iter 303: loss 3.3819, time 239.58ms
iter 304: loss 4.0447, time 239.58ms
iter 305: loss 3.2769, time 240.81ms
iter 306: loss 3.5263, time 239.26ms
iter 307: loss 3.3187, time 239.16ms
iter 308: loss 3.1781, time 239.71ms
iter 309: loss 2.9986, time 241.83ms
iter 310: loss 3.2831, time 239.26ms
iter 311: loss 3.3889, time 239.46ms
iter 312: loss 2.9150, time 239.41ms
iter 313: loss 3.3801, time 240.39ms
iter 314: loss 3.2357, time 240.19ms
iter 315: loss 2.9439, time 239.20ms
iter 316: loss 3.1738, time 239.62ms
iter 317: loss 3.4707, time 239.42ms
iter 318: loss 3.7232, time 239.40ms
iter 319: loss 2.6216, time 239.33ms
iter 320: loss 2.9813, time 240.03ms
iter 321: loss 3.4821, time 239.36ms
iter 322: loss 2.9052, time 239.81ms
iter 323: loss 3.0559, time 239.28ms
iter 324: loss 2.6991, time 239.22ms
iter 325: loss 4.0618, time 239.70ms
iter 326: loss 3.4139, time 239.18ms
iter 327: loss 3.9720, time 239.79ms
iter 328: loss 3.4114, time 239.31ms
iter 329: loss 3.2274, time 240.23ms
iter 330: loss 4.0573, time 239.49ms
iter 331: loss 2.8089, time 239.27ms
iter 332: loss 2.7822, time 241.94ms
iter 333: loss 3.2797, time 239.77ms
iter 334: loss 2.9578, time 239.58ms
iter 335: loss 3.8921, time 239.39ms
iter 336: loss 3.2351, time 240.69ms
iter 337: loss 3.1063, time 240.07ms
iter 338: loss 2.5883, time 239.32ms
iter 339: loss 3.1580, time 241.28ms
iter 340: loss 3.0586, time 239.33ms
iter 341: loss 3.2566, time 239.52ms
iter 342: loss 3.1444, time 239.41ms
iter 343: loss 2.7726, time 239.70ms
iter 344: loss 3.1183, time 239.64ms
iter 345: loss 3.1261, time 239.34ms
iter 346: loss 3.1036, time 239.75ms
iter 347: loss 3.0967, time 239.55ms
iter 348: loss 2.7959, time 239.46ms
iter 349: loss 4.2415, time 239.33ms
iter 350: loss 3.4200, time 239.65ms
iter 351: loss 3.0941, time 239.90ms
iter 352: loss 2.9584, time 239.57ms
iter 353: loss 3.3554, time 239.37ms
iter 354: loss 3.6350, time 239.68ms
iter 355: loss 3.1266, time 239.35ms
iter 356: loss 3.2543, time 239.44ms
iter 357: loss 3.1511, time 245.23ms
iter 358: loss 3.2118, time 239.89ms
iter 359: loss 3.4421, time 239.21ms
iter 360: loss 3.2954, time 239.42ms
iter 361: loss 3.3413, time 239.62ms
iter 362: loss 3.0146, time 239.25ms
iter 363: loss 3.5457, time 239.72ms
iter 364: loss 3.4293, time 239.65ms
iter 365: loss 2.9588, time 239.06ms
iter 366: loss 3.0258, time 239.39ms
